City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Description
0,Hithadhoo,100,MV,2022-07-27 19:19:37,76,-0.6,73.0833,81.82,10.04,overcast clouds
1,Busselton,7,AU,2022-07-27 19:19:37,74,-33.65,115.3333,52.2,7.61,clear sky
2,Dakar,75,SN,2022-07-27 19:17:25,79,14.6937,-17.4441,84.33,6.91,broken clouds
3,Hobart,100,AU,2022-07-27 19:19:38,77,-42.8794,147.3294,46.26,8.05,overcast clouds
4,Abu Dhabi,0,AE,2022-07-27 19:19:18,69,24.4667,54.3667,89.71,5.75,clear sky
5,Exeter,20,GB,2022-07-27 19:16:07,66,50.7236,-3.5275,65.86,8.05,few clouds
6,Sitka,20,US,2022-07-27 19:17:08,67,57.0531,-135.33,62.49,5.75,few clouds
7,Puerto Ayora,71,EC,2022-07-27 19:19:39,91,-0.7393,-90.3518,78.76,5.99,broken clouds
8,Narsaq,20,GL,2022-07-27 19:19:40,76,60.9167,-46.05,55.62,7.92,few clouds
9,Albany,100,US,2022-07-27 19:19:01,50,42.6001,-73.9662,82.36,1.16,overcast clouds
10,Vaini,20,TO,2022-07-27 19:19:40,88,-21.2,-175.2,71.76,5.75,few clouds
11,Bluff,100,NZ,2022-07-27 19:19:41,88,-46.6,168.3333,47.8,11.97,light rain
12,Atuona,0,PF,2022-07-27 19:19:42,67,-9.8,-139.0333,77.25,20.89,clear sky
13,Leningradskiy,98,RU,2022-07-27 19:19:42,87,69.3833,178.4167,36.86,1.68,overcast clouds
14,Paamiut,57,GL,2022-07-27 19:19:43,95,61.994,-49.6678,42.26,14.83,broken clouds
15,Port Blair,77,IN,2022-07-27 19:16:35,79,11.6667,92.75,81.63,4.32,broken clouds
16,Keelung,0,TW,2022-07-27 19:19:43,85,25.1283,121.7419,84.11,5.17,clear sky
17,Punta Arenas,40,CL,2022-07-27 19:17:28,65,-53.15,-70.9167,42.91,24.16,scattered clouds
18,Barrow,100,US,2022-07-27 19:19:44,97,71.2906,-156.7887,33.73,14.12,overcast clouds
19,Ushuaia,40,AR,2022-07-27 19:19:02,61,-54.8,-68.3,42.46,4.61,scattered clouds
20,Vostok,86,RU,2022-07-27 19:19:45,95,46.4856,135.8833,61.56,2.89,overcast clouds
21,Wanning,100,CN,2022-07-27 19:19:45,87,18.8003,110.3967,79.9,4.65,overcast clouds
22,El Limon,100,VE,2022-07-27 19:19:46,66,10.3059,-67.6321,79.92,1.99,overcast clouds
23,Constitucion,0,CL,2022-07-27 19:19:46,66,-35.3333,-72.4167,55.54,5.46,clear sky
24,Ahipara,14,NZ,2022-07-27 19:19:47,90,-35.1667,173.1667,57.81,18.12,few clouds
25,Lupiro,100,TZ,2022-07-27 19:19:47,48,-8.3833,36.6667,74.84,2.01,overcast clouds
26,Thompson,100,CA,2022-07-27 19:19:11,77,55.7435,-97.8558,59.16,13.8,overcast clouds
27,Gloversville,100,US,2022-07-27 19:14:58,69,43.0528,-74.3438,80.55,7.4,overcast clouds
28,Tasiilaq,88,GL,2022-07-27 19:19:48,92,65.6145,-37.6368,44.76,3.89,overcast clouds
29,Kotelnich,88,RU,2022-07-27 19:19:48,79,58.3089,48.348,59.85,4.27,overcast clouds
